Classifier,BestParams,Accuracy,F1_Micro,F1_Macro,F1_Weighted,FineTuningTime,EmbeddingModel,EmbeddingTime,TotalTime
LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 400, 'multi_class': 'deprecated', 'n_jobs': -1, 'penalty': 'l2', 'random_state': None, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.898995200959808,0.898995200959808,0.7094836674813582,0.8971934040504539,2791.506746530533,google-bert/bert-base-uncased,260.8846004009247,3052.3913469314575
KNN,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': -1, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.8788242351529694,0.8788242351529694,0.665376976256123,0.875962184902781,92.35378289222717,google-bert/bert-base-uncased,260.8846004009247,353.23838329315186
SVM,"{'C': 10, 'break_ties': False, 'cache_size': 1800, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': False, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False}",0.9146670665866826,0.9146670665866826,0.7277178618743546,0.9128367554049484,1898.1513710021973,google-bert/bert-base-uncased,260.8846004009247,2159.035971403122
MLP,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 'auto', 'beta_1': 0.9, 'beta_2': 0.999, 'early_stopping': False, 'epsilon': 1e-08, 'hidden_layer_sizes': (400, 200, 100, 50), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_fun': 15000, 'max_iter': 200, 'momentum': 0.9, 'n_iter_no_change': 10, 'nesterovs_momentum': True, 'power_t': 0.5, 'random_state': None, 'shuffle': True, 'solver': 'adam', 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': False, 'warm_start': False}",0.903119376124775,0.903119376124775,0.7217374596071018,0.9044240410168899,3476.003139257431,google-bert/bert-base-uncased,260.8846004009247,3736.8877396583557
XGBoost,"{'objective': 'multi:softprob', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': 'cuda', 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': 'logloss', 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.25, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 5, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 150, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': 'gradient_based', 'scale_pos_weight': None, 'subsample': 0.33, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.87874925014997,0.87874925014997,0.6197647601369431,0.8747248199165977,106.85565948486328,google-bert/bert-base-uncased,260.8846004009247,367.74025988578796
LogisticRegression,"{'C': 10, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 400, 'multi_class': 'deprecated', 'n_jobs': -1, 'penalty': 'l2', 'random_state': None, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.900869826034793,0.900869826034793,0.7137338941175625,0.8989470999951726,3785.23246216774,google-bert/bert-large-uncased,765.8699133396149,4551.102375507355
KNN,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': -1, 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.8761997600479904,0.8761997600479904,0.6463193526336959,0.8723653873019124,158.90349340438843,google-bert/bert-large-uncased,765.8699133396149,924.7734067440033
SVM,"{'C': 100, 'break_ties': False, 'cache_size': 1800, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': False, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False}",0.9154919016196761,0.9154919016196761,0.7648410147892857,0.9148506843120158,2698.949108839035,google-bert/bert-large-uncased,765.8699133396149,3464.81902217865
MLP,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 'auto', 'beta_1': 0.9, 'beta_2': 0.999, 'early_stopping': False, 'epsilon': 1e-08, 'hidden_layer_sizes': (200, 150, 100, 50), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_fun': 15000, 'max_iter': 200, 'momentum': 0.9, 'n_iter_no_change': 10, 'nesterovs_momentum': True, 'power_t': 0.5, 'random_state': None, 'shuffle': True, 'solver': 'adam', 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': False, 'warm_start': False}",0.9019196160767846,0.9019196160767846,0.6975437909074835,0.9008865370447322,5123.655453443527,google-bert/bert-large-uncased,765.8699133396149,5889.525366783142
XGBoost,"{'objective': 'multi:softprob', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': 'cuda', 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': 'logloss', 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.5, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 5, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 150, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': 'gradient_based', 'scale_pos_weight': None, 'subsample': 0.33, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.8755998800239952,0.8755998800239952,0.615575089967655,0.871898599318499,131.64149069786072,google-bert/bert-large-uncased,765.8699133396149,897.5114040374756
